community,community_size,avg_weighted_degree,avg_rule_hits,avg_suspicion,max_suspicion,density_w2,top_users
37,396,401.50252525252523,0.030303030303030304,0.7806539152439803,22.174916260646842,1.0,"['dba3eba0702950a1', 'e2583d4e2a2b473e', 'ec9c33a0b07ef18c', '1c2623fb9b0bd0de', 'a350393e7fbed1b7', 'c4e7ca53504b694f', 'c3235139754a4b21', 'd0c0cf62cfc7fce8', '0e11527ed95f00c6', '9f3f051e89f69137']"
50,461,467.0802603036876,0.0,0.7422524960307855,2.5146115389254167,0.3333333333333333,"['86c6413f796bf2e7', '91bba4c1f50f1302', '144b022993467e73', '577732dc989b7a30', 'b0f1fde3ea62fca1', 'cee147ca71475e6c', '86d266b91ddedc4b', 'c054f88d67bac7ff', '24ba4131f6c3ff24', 'e464118148523c7e']"
14,444,471.10585585585585,0.02252252252252252,0.7023907705548368,11.640884966134175,0.1,"['9d242ec9b891884c', 'ccec51dac8368608', 'b4d0b001b2cc68bb', '370df457614fa8fb', '72d57fb9b1643a18', 'de92f073c0518ff7', '1f77c2a37cc726bb', '3c7372a8acc0fc60', 'a2abde0d335ffc04', '804137650ed86be3']"
11,445,464.0516853932584,0.0022471910112359553,0.6597103781654122,3.768412273026319,0.14285714285714285,"['50f8d30c33725aa3', '318ffddfa39f77d1', '1724c476fda4b52f', '9c2124b2689c98e6', 'c4137dcc771fa809', '19e221f7de19fbf5', '9047fa1178e582e2', '99dbeb63c8a6cc5d', '7f7326f206ccbdec', '437a880fb7d5e85a']"
34,390,411.4923076923077,0.0,0.6051994801370861,3.3269883876303,0.5606060606060606,"['ce72b23666fdc3f6', 'e4354ef4b20b922d', '37b3020054d9f938', 'c403d74d55e150e6', '3cfa896c6b6b1f81', '517e71b40bc11663', '7e17bde97bb4bd79', '358dc8b9f7c40df8', '278e973d575ef8e1', '93b600ecda20c1b1']"
25,423,452.1843971631206,0.0,0.6039139110190239,3.30266566048516,0.13157894736842105,"['0904b83ecff8ff6e', '11315d66efb556e7', '93fb76a9c14cecab', '57fc2696a1c05994', 'cf4b2bf34f4dfee1', '3d385ca387476090', 'f7540137fb2ce1cc', '0751786c7af4b9cd', 'cce488933483c3fb', 'da0bacf21e44f01a']"
5,455,423.7010989010989,0.015384615384615385,0.5531457309354403,8.289581979624867,0.23809523809523808,"['c89e4df795c9b01c', 'cc1f5999ca361492', '139d29a2cdf586ec', 'f1c8efb370f8b44a', '6f71f52b3fe33b97', '8bd870692b607715', '534374144ced9cd1', '06dbe3c0dc72664e', '6f96a6d31975169d', '76fb09df60ce168a']"
20,326,353.5552147239264,0.0,0.5407012281516935,2.473026962665871,1.0,"['e119e4c50e0be0a9', '6325eea699d802da', 'e192ce766a78b593', '2d2018435888021c', 'f6095dc4164b654a', '4fa3f5001448003d', 'b95d2b7e9a4c4f6f', 'c2f3b5de4acd4d5c', '3f203e35639fe7de', 'e6bb0c65453218a7']"
18,497,437.0261569416499,0.0,0.5271244635703072,4.432589236835136,0.09166666666666666,"['1bd56dad0e5dea83', '627060ec6a0e7dbd', 'be75e887f255a4fa', '0f78a42b823bbf57', '68bc3085f232f5ab', 'b0c54dc384812196', 'ac323093ecc4bffa', '4d3ff5ca544e5ecd', '5b84aee98af95e8b', '901fad2a734b4e4d']"
3,419,426.436754176611,0.0,0.5261771527326384,2.0825905420278046,0.2,"['83abb031db28d557', '2a745ea2669103de', 'e86bce7eecff1d0b', 'c3bd80bef46bc7d7', '69128fcc06763618', '4d2e6255dc9f4ea4', '3f52b237f424cf7a', 'e2a858ba48775f41', '167ee8e45615c9aa', '868c2d9aedbf09f6']"
91,71,54.53521126760563,1.0140845070422535,0.47964278882746164,2.0355726480932814,0.0,"['f1c65f38d89fa400', '259461024e451439', '6fd29a4541760122', '8952419cd65806c7', '95561631e4a27bb0', 'ba8175daba52c9f5', 'f050493c1c5a079a', '4229724bb32745ac', 'af228a15686b0ad6', 'ddfa0df2896c840c']"
35,384,407.6953125,0.0,0.4579786238821757,4.401207409647262,0.21978021978021978,"['5cfdf86fc7e74a0d', '87a5620ef6af140f', '05d856b002608bb6', '76df2a51b903744f', '55d84a7952d447a7', 'a7f14646cb057104', '88d2d4acd922f1af', '5c055bd2644cf19f', '04e26a42c0c58762', 'ff69f22686ea5127']"
4,500,396.578,0.058,0.4476573783919446,48.94945694545845,0.08232118758434548,"['cc56e646f6b8aec1', 'c41b6c2f55aa2f41', '4f7cdb5b05c65f22', '1f8e0c9fb888de58', '1b69b53f4b6d3349', '0073e177fa988f26', '94197d2139a9c489', '327620e48a74e863', 'fcb965e4c646999c', 'c8ce26a526bc73eb']"
38,394,403.8299492385787,0.0,0.4346823614938092,2.6370601556719624,0.2,"['12650e5cd57505b6', '4dd57c8886d1843f', '888e064e3b49492a', 'b239f5429f5c1b47', '56a5dfc65ed259c9', '482cac6eed6c13f4', '67051886574a850b', 'e2034915015226fb', '2d95894187b0eb58', '8ff22a06544d9a24']"
21,385,406.35064935064935,0.0,0.42277763015230996,2.2749868172986245,0.14285714285714285,"['99e589c397e65065', 'c62903673b0b9fb8', '8cac79aeec39a437', '5cc5c2b5b7107081', '7c5d1428d5cf6b2e', 'cd78ce646b382aa6', 'e069ce9200e8d24a', 'a1a0b166b7704f4f', '3284204ca13767fe', 'b462fa1efe1cbdb6']"
10,368,403.5733695652174,0.0,0.3969935635443312,4.498557594448525,0.10526315789473684,"['d1336d3c024dd991', 'df6425471920e681', 'd9cfadd5fc55d629', '232d422bae52c454', 'efaaccdc64df2772', '6ec17ffb9fe7bdac', '40ca402b6fd64f32', '6f49a565aec301df', '208ebdb2de94d3d9', 'ad4facd22216253c']"
