author_id,weighted_degree,community,degree,num_channels,rule_hits,community_size,community_density_w2,z_weighted_degree,z_rule_hits,z_comm_density,suspicion_score
cc56e646f6b8aec1,1549.0,4,1538,5,29,500,0.08232118758434548,8.465623815443406,109.78175415377406,-0.42619005317221426,48.94945694545845
0e2410ab413b6824,1293.0,12,1282,5,20,482,0.125,6.738808473680579,75.70159280140803,-0.2610806913981918,34.29781413563175
dba3eba0702950a1,1208.0,37,1207,4,12,396,1.0,6.1654518172358905,45.408116043749324,3.1239875280557787,22.174916260646842
9d242ec9b891884c,1311.0,14,1311,4,5,444,0.1,6.860225177398277,18.901323880797957,-0.3577969262397338,11.640884966134175
c89e4df795c9b01c,844.0,5,842,4,4,455,0.23809523809523808,3.710136253166871,15.114639286090618,0.17644513288497438,8.289581979624867
ccec51dac8368608,984.0,14,983,4,3,444,0.1,4.654488393193417,11.327954691383281,-0.3577969262397338,7.288095219845389
cc1f5999ca361492,736.0,5,735,4,3,455,0.23809523809523808,2.981636030860678,11.327954691383281,0.17644513288497438,6.337808008358217
b08d1ae5b108884d,310.0,57,310,4,4,318,0.0,0.1081073762084739,15.114639286090618,-0.7446618656059019,6.036253953600742
b4d0b001b2cc68bb,1626.0,14,1601,4,0,444,0.1,8.985017492458006,-0.03209909273873165,-0.3577969262397338,5.342391165755338
c41b6c2f55aa2f41,1596.0,4,1583,3,0,500,0.08232118758434548,8.782656319595175,-0.03209909273873165,-0.42619005317221426,5.214135149344391
ec26e679d211f9a9,1567.0,12,1554,4,0,482,0.125,8.587040519161105,-0.03209909273873165,-0.2610806913981918,5.113276605261351
eacb5e2f461dd871,1490.0,9,1459,2,0,1007,0.1087431693989071,8.067646842146504,-0.03209909273873165,-0.3239726692459705,4.795351201267813
d1336d3c024dd991,1417.0,10,1407,4,0,368,0.10526315789473684,7.575234654846948,-0.03209909273873165,-0.3374356136415145,4.498557594448525
