support,itemsets,itemset_len
0.0012091898428053204,"frozenset({'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UCIRYBXDze5krPDzAEOxFGVA', 'CH:UCCjG8NtOig0USdrT5D1FpxQ', 'CH:UCXIJgqnII2ZOINSWNOGFThA'})",4
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC_vFLohxs5PkAxlk7Y6jEtw', 'CH:UCXIJgqnII2ZOINSWNOGFThA'})",4
0.0012091898428053204,"frozenset({'CH:UCx6h-dWzJ5NpAlja1YsApdg', 'CH:UC_vFLohxs5PkAxlk7Y6jEtw', 'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UCXIJgqnII2ZOINSWNOGFThA'})",4
0.0012091898428053204,"frozenset({'CH:UCx6h-dWzJ5NpAlja1YsApdg', 'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC_vFLohxs5PkAxlk7Y6jEtw', 'CH:UCXIJgqnII2ZOINSWNOGFThA'})",4
0.0012091898428053204,"frozenset({'CH:UCx6h-dWzJ5NpAlja1YsApdg', 'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UCXIJgqnII2ZOINSWNOGFThA'})",4
0.0012091898428053204,"frozenset({'CH:UCx6h-dWzJ5NpAlja1YsApdg', 'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC_vFLohxs5PkAxlk7Y6jEtw', 'CH:UCeY0bbntWzzVIaj2z3QigXg'})",4
0.0036275695284159614,"frozenset({'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCeY0bbntWzzVIaj2z3QigXg'})",3
0.0036275695284159614,"frozenset({'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0036275695284159614,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UCBi2mrWuNuyYy4gbM6fU18Q'})",3
0.0024183796856106408,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0024183796856106408,"frozenset({'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCknLrEdhRCp1aegoMqRaCZg'})",3
0.0024183796856106408,"frozenset({'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UCIRYBXDze5krPDzAEOxFGVA', 'CH:UCCjG8NtOig0USdrT5D1FpxQ'})",3
0.0024183796856106408,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UCCjG8NtOig0USdrT5D1FpxQ'})",3
0.0024183796856106408,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UCPgLNge0xqQHWM5B5EFH9Cg', 'DOM:youtu.be'})",3
0.0012091898428053204,"frozenset({'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UCO0akufu9MOzyz3nvGIXAAw', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UC5T7D-Dh1eDGtsAFCuwv_Sw'})",3
